step,node_index,x,y,step_distance,cumulative_distance
511,923,434.887143,371.891353,8.708059,12979.811552
512,619,464.880734,479.136546,111.360438,13091.17199
513,893,468.600933,495.906094,17.177241,13108.349231
514,410,464.91501,504.756488,9.587257,13117.936488
515,835,456.004758,512.866974,12.048757,13129.985246
516,283,488.111115,525.682649,34.569635,13164.554881
517,741,468.390396,539.268925,23.947728,13188.502609
518,752,490.265606,565.591543,34.225795,13222.728404
519,71,500.122511,545.457741,22.417149,13245.145553
520,57,518.696125,537.536378,20.192254,13265.337808
521,617,534.201286,518.199548,24.78554,13290.123347
522,670,536.009827,520.824436,3.18761,13293.310957
523,616,553.581505,547.864682,32.248082,13325.559039
524,273,538.505135,562.674195,21.133352,13346.692392
525,763,552.046287,574.93551,18.26753,13364.959921
526,846,563.48496,594.658491,22.799983,13387.759905
527,645,567.853723,602.928619,9.353133,13397.113038
528,827,477.182155,599.103636,90.752211,13487.865248
529,886,486.057698,580.750583,20.38651,13508.251759
530,954,496.958323,577.707476,11.317426,13519.569185
531,678,508.083028,611.250233,35.339434,13554.908619
532,993,516.904563,615.04086,9.601475,13564.510094
533,463,480.281081,626.575116,38.396855,13602.906949
534,880,489.684009,643.911985,19.722629,13622.629577
535,22,486.13647,668.470222,24.813142,13647.442719
536,596,512.239634,684.502261,30.633339,13678.076058
537,828,531.89941,686.638269,19.775473,13697.851531
538,549,523.358068,699.393545,15.350947,13713.202478
539,33,531.997491,723.663351,25.76166,13738.964138
540,427,548.403384,736.813439,21.025655,13759.989793
541,311,562.079888,729.490487,15.513619,13775.503412
542,387,581.900652,737.900648,21.531221,13797.034633
543,642,597.544207,753.221087,21.896043,13818.930676
544,692,598.378457,733.447388,19.791289,13838.721965
545,577,591.453772,733.190946,6.929431,13845.651396
546,501,592.557989,705.954318,27.259003,13872.910399
547,310,548.245726,673.364914,55.005871,13927.91627
548,551,549.411407,663.430543,10.002527,13937.918797
549,478,564.580828,648.127389,21.547573,13959.46637
550,705,586.328459,644.624092,22.027994,13981.494364
551,924,594.129408,585.857803,59.281798,14040.776162
552,555,623.045488,579.113473,29.692182,14070.468344
553,361,609.514089,607.39767,31.354338,14101.822682
554,458,621.172613,621.827244,18.550843,14120.373525
